         11977072 function calls (11799082 primitive calls) in 155.625 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.102    0.102 _remove_redundancy.py:1(<module>)
        2    0.000    0.000    0.101    0.051 image.py:1(<module>)
        1    0.000    0.000    0.101    0.101 interpolative.py:1(<module>)
     3013    0.006    0.000    0.101    0.000 fromnumeric.py:66(_wrapreduction)
       12    0.000    0.000    0.101    0.008 track.py:21(wrapper)
        9    0.000    0.000    0.100    0.011 events.py:1(<module>)
        1    0.000    0.000    0.100    0.100 _sputils.py:1(<module>)
       58    0.010    0.000    0.100    0.002 {method 'readline' of '_io.BufferedReader' objects}
        4    0.000    0.000    0.100    0.025 _util.py:1(<module>)
        2    0.000    0.000    0.097    0.049 reduction.py:1(<module>)
 1294/727    0.002    0.000    0.097    0.000 _generate_schema.py:2210(_apply_annotations)
        1    0.000    0.000    0.097    0.097 crashhandler.py:1(<module>)
        2    0.000    0.000    0.097    0.048 _spectral.py:1(<module>)
        1    0.000    0.000    0.097    0.097 estimator_checks.py:1(<module>)
    21460    0.005    0.000    0.097    0.000 __init__.py:1179(_get_toplevel_name)
        1    0.000    0.000    0.096    0.096 _dbscan.py:1(<module>)
        1    0.000    0.000    0.096    0.096 artifact_dataset_sources.py:1(<module>)
        1    0.000    0.000    0.096    0.096 artifact_repository_registry.py:1(<module>)
        1    0.000    0.000    0.096    0.096 ultratb.py:1(<module>)
798630/798359    0.073    0.000    0.095    0.000 {built-in method builtins.isinstance}
    20659    0.094    0.000    0.095    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.094    0.094 _multiprocessing_helpers.py:1(<module>)
 1415/727    0.001    0.000    0.094    0.000 _schema_generation_shared.py:82(__call__)
        1    0.000    0.000    0.094    0.094 backend_bases.py:1(<module>)
     1264    0.010    0.000    0.094    0.000 _docscrape.py:224(_parse_param_list)
        1    0.000    0.000    0.094    0.094 _mgc.py:1(<module>)
        1    0.000    0.000    0.093    0.093 _t_sne.py:1(<module>)
        3    0.000    0.000    0.092    0.031 client.py:1386(getresponse)
 1294/727    0.001    0.000    0.092    0.000 _generate_schema.py:2227(inner_handler)
     3017    0.002    0.000    0.092    0.000 inspect.py:3347(signature)
        3    0.000    0.000    0.092    0.031 model.py:1(<module>)
        3    0.000    0.000    0.091    0.030 client.py:324(begin)
    21460    0.006    0.000    0.091    0.000 __init__.py:1171(_topmost)
        1    0.000    0.000    0.091    0.091 _fitpack_impl.py:1(<module>)
        3    0.000    0.000    0.091    0.030 _testing.py:1(<module>)
     3017    0.002    0.000    0.090    0.000 inspect.py:3068(from_callable)
7896/7517    0.010    0.000    0.090    0.000 typing.py:426(inner)
        2    0.000    0.000    0.090    0.045 libpath.py:1(<module>)
111425/109339    0.044    0.000    0.090    0.000 {built-in method __new__ of type object at 0x101bd00f8}
        3    0.000    0.000    0.090    0.030 client.py:291(_read_status)
    21532    0.015    0.000    0.088    0.000 _local.py:329(parent)
3993/3017    0.013    0.000    0.088    0.000 inspect.py:2479(_signature_from_callable)
        2    0.000    0.000    0.088    0.044 accessors.py:1(<module>)
        1    0.000    0.000    0.088    0.088 _linprog_highs.py:1(<module>)
        1    0.000    0.000    0.088    0.088 shutil.py:1(<module>)
       11    0.000    0.000    0.088    0.008 version.py:1(<module>)
        1    0.000    0.000    0.087    0.087 _highs_wrapper.py:1(<module>)
        1    0.000    0.000    0.087    0.087 compute.py:1(<module>)
        1    0.000    0.000    0.087    0.087 base_events.py:1(<module>)
        1    0.000    0.000    0.087    0.087 postgresql.py:1(<module>)
        2    0.000    0.000    0.086    0.043 indexing.py:1(<module>)
        3    0.000    0.000    0.086    0.029 ssl_.py:461(_ssl_wrap_socket_impl)
 2822/709    0.008    0.000    0.086    0.000 _generate_schema.py:1045(match_type)
     4409    0.006    0.000    0.086    0.000 artist.py:1463(get_valid_values)
    21462    0.009    0.000    0.085    0.000 _local.py:320(parts)
      766    0.002    0.000    0.083    0.000 _parser.py:970(parse)
        5    0.000    0.000    0.083    0.017 text.py:1(<module>)
      164    0.001    0.000    0.083    0.001 managers.py:317(apply)
        3    0.000    0.000    0.083    0.028 array.py:1(<module>)
        2    0.000    0.000    0.083    0.041 lazy_load.py:40(__getattr__)
        2    0.000    0.000    0.082    0.041 lazy_load.py:23(_load)
        3    0.000    0.000    0.082    0.027 socket.py:706(readinto)
        3    0.000    0.000    0.082    0.027 ssl.py:1289(recv_into)
